ID,name,handedness,height,weight,avg,HR
189,Chuck Hiller,Left,71,170,0.243,20
190,Jorge Orta,Left,70,170,0.278,130
191,Dave Cash,Right,71,170,0.283,21
192,Bucky Dent,Right,69,170,0.247,40
195,Tony Gonzalez,Left,69,170,0.286,103
197,Larry Haney,Right,74,195,0.215,12
198,Billy Conigliaro,Right,72,180,0.256,40
199,Gary Roenicke,Right,75,205,0.247,121
200,Don Lock,Right,74,195,0.238,122
201,Billy Cowan,Right,72,170,0.236,40
202,Billy Smith,Both,74,185,0.23,17
204,Tony Perez,Right,74,175,0.279,379
205,Chuck Schilling,Right,70,160,0.239,23
206,Hal McRae,Right,71,180,0.29,191
207,Dave Roberts,Right,75,215,0.239,49
209,Jim Lefebvre,Both,72,180,0.251,74
212,Charlie Spikes,Right,75,215,0.246,65
214,Steve Whitaker,Left,72,180,0.23,24
215,Manny Jimenez,Left,73,185,0.272,26
217,Duffy Dyer,Right,72,187,0.221,30
218,Ken Henderson,Both,74,180,0.257,122
221,Vern Fuller,Right,73,170,0.232,14
223,Wayne Gross,Left,74,210,0.233,121
224,Mike Champion,Right,72,185,0.229,2
226,Paul Casanova,Right,76,180,0.225,50
229,Terry Crowley,Left,72,180,0.25,42
230,Horace Clarke,Both,69,170,0.256,27
231,Lou Clinton,Right,73,185,0.247,65
232,Larry Cox,Right,70,178,0.221,12
233,Nate Colbert,Right,74,190,0.243,173
234,Phil Roof,Right,74,190,0.215,43
235,Chuck Hinton,Right,73,180,0.264,113
236,Tim Cullen,Right,73,185,0.22,9
237,Tim Harkness,Left,74,182,0.235,14
238,Rick Bosetti,Right,71,185,0.25,17
239,Ron Pruitt,Right,72,185,0.269,12
240,George Foster,Right,73,180,0.274,348
241,Jerry White,Both,70,164,0.253,21
242,Angel Mangual,Right,70,178,0.245,22
243,Ken Gerhart,Right,72,190,0.221,24
244,Mike Hershberger,Right,70,175,0.252,26
245,Jim French,Left,68,180,0.196,5
246,Dave Roberts,Left,75,195,0.194,7
247,Jim Mason,Left,74,185,0.203,12
249,Willie Smith,Left,72,182,0.248,46
251,Jose Arcia,Right,75,170,0.215,1
252,Leon Durham,Left,73,185,0.277,147
254,Paul Householder,Both,72,180,0.236,29
255,Aurelio Rodriguez,Right,70,180,0.237,124
256,Jimmy Stewart,Both,72,165,0.237,8
257,Dick Phillips,Left,72,180,0.229,12
258,Andres Thomas,Right,73,170,0.234,42
260,Mike de la Hoz,Right,71,175,0.251,25
261,Frank Taveras,Right,72,155,0.255,2
262,Joe Nossek,Right,72,178,0.228,3
263,Larry Stahl,Left,72,175,0.232,36
264,Jose Cruz,Left,72,170,0.284,165
265,Don Mason,Left,71,160,0.205,3
266,Bill Robinson,Right,74,189,0.258,166
268,Sal Bando,Right,72,195,0.254,242
269,George Mitterwald,Right,74,195,0.236,76
272,Bob Tillman,Right,76,205,0.232,79
274,Pat Corrales,Right,72,180,0.216,4
275,Mike Tyson,Right,69,170,0.241,27
276,Rafael Landestoy,Both,70,165,0.237,4
277,Duane Josephson,Right,72,190,0.258,23
278,Duane Walker,Left,72,185,0.229,24
279,Glenn Hubbard,Right,69,150,0.244,70
280,Roger Freed,Right,72,190,0.245,22
281,George Hendrick,Right,75,195,0.278,267
282,Rod Carew,Left,72,170,0.328,92
283,Bob Davis,Right,72,180,0.197,6
284,Toby Harrah,Right,72,175,0.264,195
285,Rick Manning,Left,73,180,0.257,56
288,Gary Matthews,Right,74,185,0.281,234
289,Cesar Geronimo,Left,72,165,0.258,51
290,Billy Bryan,Left,76,200,0.216,41
292,Terry Whitfield,Left,73,197,0.281,33
293,Mario Mendoza,Right,71,170,0.215,4
294,Fred Lynn,Left,73,185,0.283,306
295,Larry Hisle,Right,74,193,0.273,166
296,Graig Nettles,Left,72,180,0.248,390
298,Dave Engle,Right,75,210,0.262,31
300,Mike Easler,Left,72,190,0.293,118
303,Rick Sweet,Both,73,200,0.234,6
304,Thurman Munson,Right,71,190,0.292,113
305,Rick Monday,Left,75,193,0.264,241
306,Mike Sadek,Right,69,165,0.226,5
307,Mark Belanger,Right,73,170,0.228,20
308,Ron Hunt,Right,72,186,0.273,39
309,Joe Keough,Left,72,185,0.246,9
311,Vic Correll,Right,70,185,0.229,29
312,Jackie Hernandez,Right,71,165,0.208,12
313,Tony Solaita,Left,72,210,0.255,50
314,U L Washington,Both,71,175,0.251,27
317,Joe Foy,Right,72,215,0.248,58
318,Ed Goodson,Left,75,180,0.26,30
320,Mickey Klutts,Right,71,170,0.241,14
321,Leroy Stanton,Right,73,195,0.244,77
324,Danny Ainge,Right,76,175,0.22,2
325,Adolfo Phillips,Right,73,175,0.247,59
326,Marv Breeding,Right,72,175,0.25,7
328,Dick McAuliffe,Left,71,176,0.247,197
330,Glenn Burke,Right,72,195,0.237,2
332,Terry Humphrey,Right,75,185,0.211,6
334,Enzo Hernandez,Right,68,155,0.224,2
336,Coco Laboy,Right,70,165,0.233,28
337,Ted Kubiak,Both,72,175,0.231,13
338,Jim Morrison,Right,71,175,0.26,112
340,Bobby Knoop,Right,73,170,0.236,56
341,Bobby Brown,Both,74,190,0.245,26
342,Tom Hutton,Left,71,180,0.248,22
343,Ron Hodges,Left,73,185,0.24,19
344,Rich Chiles,Left,71,170,0.254,6
345,Tom Paciorek,Right,76,215,0.282,86
